"Fecha","Tipo","Jugador/Beneficiario","De (Vendedor)","A (Comprador)","Importe"
"30/11/2025","Traspaso","Brais Méndez","Visite La Manga FC","Pablinistan FC","24907972"
"29/11/2025","Traspaso","Maffeo","Pablinistan FC","LALIGA","2996202"
"29/11/2025","Traspaso","Iñaki Peña","Pablinistan FC","LALIGA","1973601"
"29/11/2025","Traspaso","Akor","GOLENCIERRO FC","LALIGA","1131930"
"29/11/2025","Traspaso","Dela","Pablinistan FC","LALIGA","597516"
"29/11/2025","Traspaso","Oyarzabal","Alcatamy eSports By","LALIGA","66057048"
"29/11/2025","Traspaso","Huijsen","LALIGA","Vigar FC","59122453"
"29/11/2025","Traspaso","A. Liso","LALIGA","GOLENCIERRO FC","6766670"
"29/11/2025","Traspaso","Griezmann","LALIGA","Morenazos FC","25455081"
"29/11/2025","Traspaso","Koke","LALIGA","Vigar FC","11848900"
"29/11/2025","Traspaso","David Soria","LALIGA","GOLENCIERRO FC","13561809"
"29/11/2025","Traspaso","Barrenetxea","LALIGA","Alcatamy eSports By","55550000"
"29/11/2025","Traspaso","Rondón","Pablinistan FC","LALIGA","631604"
"28/11/2025","Traspaso","Cayetano","Vigar FC","LALIGA","516423"
"28/11/2025","Traspaso","Álex Baena","Pablinistan FC","Alcatamy eSports By","80000000"
"28/11/2025","Traspaso","Trent","LALIGA","Pablinistan FC","21040452"
"28/11/2025","Traspaso","Jon Martin","LALIGA","Pablinistan FC","1200448"
"28/11/2025","Traspaso","Dolan","LALIGA","Pablinistan FC","5000110"
"28/11/2025","Traspaso","Arambarri","LALIGA","Vigar FC","16800004"
"27/11/2025","Traspaso","Suazo","Alcatamy eSports By","LALIGA","6181156"
"27/11/2025","Traspaso","Witsel","GOLENCIERRO FC","LALIGA","4370970"
"27/11/2025","Traspaso","David Carmo","GOLENCIERRO FC","LALIGA","1927451"
"27/11/2025","Traspaso","Fermín","Alcatamy eSports By","LALIGA","95223490"
"27/11/2025","Traspaso","Raíllo","LALIGA","GOLENCIERRO FC","6509818"
"26/11/2025","Traspaso","Lunin","LALIGA","Vigar FC","1000002"
"26/11/2025","Traspaso","A. Pedraza","Pablinistan FC","Vigar FC","1624797"
"26/11/2025","Traspaso","Rubén García","GOLENCIERRO FC","LALIGA","5691383"
"26/11/2025","Traspaso","C. Alvarez","GOLENCIERRO FC","LALIGA","11951186"
"26/11/2025","Traspaso","Gorrotxa","GOLENCIERRO FC","Pablinistan FC","3000000"
"26/11/2025","Traspaso","Raphinha","Morenazos FC","Pablinistan FC","190031541"
"26/11/2025","Traspaso","Gerard","LALIGA","Alcatamy eSports By","35323221"
"26/11/2025","Traspaso","Héctor Fort","LALIGA","Pablinistan FC","971937"
"26/11/2025","Traspaso","Danjuma","LALIGA","GOLENCIERRO FC","34000000"
"26/11/2025","Traspaso","Gazzaniga","LALIGA","GOLENCIERRO FC","5000001"
"26/11/2025","Traspaso","André Silva","LALIGA","GOLENCIERRO FC","9233466"
"26/11/2025","Traspaso","Á. Carreras","Alcatamy eSports By","LALIGA","90103547"
"26/11/2025","Traspaso","Dmitrovic","GOLENCIERRO FC","Visite La Manga FC","19300491"
"26/11/2025","Traspaso","Óscar Valentín","GOLENCIERRO FC","Visite La Manga FC","1100000"
"26/11/2025","Blindaje","L. Milla","","","0"
"25/11/2025","Traspaso","Fornals","Vigar FC","LALIGA","78873857"
"25/11/2025","Blindaje","Vini Jr.","","","0"
"25/11/2025","Blindaje","Álex Baena","","","0"
"25/11/2025","Blindaje","Mbappé","","","0"
"25/11/2025","Blindaje","Arda Güler","","","0"
"25/11/2025","Blindaje","Julián Alvarez","","","0"
"25/11/2025","Traspaso","Isco","Pablinistan FC","Vigar FC","81245098"
"25/11/2025","Blindaje","Bellingham","","","0"
"25/11/2025","Traspaso","Renato Veiga","LALIGA","Vigar FC","21852400"
"25/11/2025","Traspaso","Marcos Llorente","Vigar FC","LALIGA","81572262"
"25/11/2025","Traspaso","Danjuma","Vigar FC","LALIGA","32750912"
"25/11/2025","Traspaso","J. M. Giménez","GOLENCIERRO FC","Vigar FC","26657111"
"25/11/2025","Traspaso","Agirrezabala","Visite La Manga FC","Pablinistan FC","18903850"
"25/11/2025","Traspaso","Júnior R.","Pablinistan FC","LALIGA","30981920"
"25/11/2025","Recompensa","Visite La Manga FC","","","7100000"
"25/11/2025","Recompensa","Pablinistan FC","","","7300000"
"25/11/2025","Recompensa","GOLENCIERRO FC","","","8700000"
"25/11/2025","Recompensa","Alcatamy eSports By","","","8800000"
"25/11/2025","Recompensa","Morenazos FC","","","5500000"
"25/11/2025","Recompensa","Alcatamy eSports By","","","100000"
"25/11/2025","Recompensa","Vigar FC","","","100000"
"25/11/2025","Recompensa","GOLENCIERRO FC","","","100000"
"24/11/2025","Recompensa","Vigar FC","","","8600000"
"24/11/2025","Traspaso","Álvaro","LALIGA","Visite La Manga FC","2569941"
"24/11/2025","Traspaso","Ayoze","LALIGA","GOLENCIERRO FC","18000000"
"24/11/2025","Traspaso","Lewandowski","Pablinistan FC","Vigar FC","81516062"
"23/11/2025","Traspaso","Gayá","LALIGA","Alcatamy eSports By","2753766"
"23/11/2025","Traspaso","Lo Celso","Vigar FC","LALIGA","57965083"
"22/11/2025","Traspaso","Giuliano","Vigar FC","LALIGA","79473897"
"22/11/2025","Traspaso","De Frutos","LALIGA","Alcatamy eSports By","45920096"
"22/11/2025","Traspaso","V. Chust","LALIGA","GOLENCIERRO FC","1000000"
"20/11/2025","Traspaso","Giuliano","LALIGA","Vigar FC","76000001"
"19/11/2025","Blindaje","L. Milla","","","0"
"19/11/2025","Blindaje","Marcos Llorente","","","0"
"19/11/2025","Traspaso","Mestre","Alcatamy eSports By","LALIGA","515461"
"19/11/2025","Traspaso","Comesaña","GOLENCIERRO FC","Alcatamy eSports By","13257566"
"19/11/2025","Traspaso","Riedel","Alcatamy eSports By","LALIGA","3258835"
"19/11/2025","Traspaso","Lo Celso","LALIGA","Vigar FC","53450000"
"19/11/2025","Traspaso","Montero","LALIGA","Alcatamy eSports By","519048"
"19/11/2025","Traspaso","E. Militão","Vigar FC","LALIGA","68409423"
"18/11/2025","Blindaje","Álex Baena","","","0"
"18/11/2025","Blindaje","Isco","","","0"
"18/11/2025","Blindaje","Edu Expósito","","","0"
"18/11/2025","Blindaje","Julián Alvarez","","","0"
"18/11/2025","Traspaso","Fermín","Vigar FC","Alcatamy eSports By","73548197"
"18/11/2025","Traspaso","Giuliano","Alcatamy eSports By","LALIGA","75515680"
"18/11/2025","Traspaso","Bartra","LALIGA","Morenazos FC","29200000"
"18/11/2025","Traspaso","Camavinga","Alcatamy eSports By","LALIGA","11339379"
"17/11/2025","Traspaso","Witsel","LALIGA","GOLENCIERRO FC","4366094"
"17/11/2025","Traspaso","Asencio","LALIGA","Alcatamy eSports By","3582439"
"17/11/2025","Traspaso","Oyarzabal","LALIGA","Alcatamy eSports By","66432121"
"16/11/2025","Traspaso","F. Calero","LALIGA","GOLENCIERRO FC","1112770"
"16/11/2025","Traspaso","Brahim","LALIGA","Morenazos FC","6013622"
"16/11/2025","Traspaso","Álvaro Nuñez","GOLENCIERRO FC","Morenazos FC","14024506"
"16/11/2025","Traspaso","Vargas","Alcatamy eSports By","Visite La Manga FC","53315077"
"16/11/2025","Traspaso","Amrabat","Alcatamy eSports By","Pablinistan FC","8208950"
"16/11/2025","Traspaso","Muriqi","Morenazos FC","Visite La Manga FC","20924810"
"16/11/2025","Traspaso","Ounahi","Pablinistan FC","Visite La Manga FC","14426357"
"16/11/2025","Traspaso","Brais Méndez","GOLENCIERRO FC","Visite La Manga FC","17770814"
"16/11/2025","Traspaso","A. Moleiro","Visite La Manga FC","Alcatamy eSports By","44479882"
"16/11/2025","Traspaso","Maffeo","Visite La Manga FC","Pablinistan FC","3050000"
"15/11/2025","Traspaso","Courtois","LALIGA","Vigar FC","50000000"
"15/11/2025","Traspaso","Aitor Fdez","LALIGA","GOLENCIERRO FC","534520"
"15/11/2025","Traspaso","E. Militão","LALIGA","Vigar FC","68933201"
"15/11/2025","Traspaso","A. Moleiro","Alcatamy eSports By","Visite La Manga FC","42853073"
"15/11/2025","Traspaso","Germán","Pablinistan FC","LALIGA","542406"
"14/11/2025","Traspaso","Fornals","Pablinistan FC","Vigar FC","81000421"
"14/11/2025","Traspaso","Lejeune","Pablinistan FC","Vigar FC","24300100"
"13/11/2025","Traspaso","Szczesny","GOLENCIERRO FC","LALIGA","5709351"
"13/11/2025","Traspaso","Germán","LALIGA","Pablinistan FC","510078"
"12/11/2025","Traspaso","Mikautadze","GOLENCIERRO FC","LALIGA","26424472"
"12/11/2025","Blindaje","Mbappé","","","0"
"12/11/2025","Traspaso","Á. Carreras","Vigar FC","Alcatamy eSports By","74713885"
"12/11/2025","Traspaso","Vivian","Alcatamy eSports By","LALIGA","31797584"
"12/11/2025","Traspaso","Pepe","LALIGA","GOLENCIERRO FC","82050000"
"11/11/2025","Traspaso","Pere Milla","GOLENCIERRO FC","LALIGA","17825029"
"11/11/2025","Traspaso","Rafa Mir","GOLENCIERRO FC","LALIGA","16452722"
"11/11/2025","Traspaso","Isi","GOLENCIERRO FC","LALIGA","20414219"
"11/11/2025","Traspaso","Júnior R.","Vigar FC","Pablinistan FC","29734312"
"11/11/2025","Traspaso","F. De Jong","Pablinistan FC","LALIGA","62898311"
"11/11/2025","Traspaso","Vargas","Visite La Manga FC","Alcatamy eSports By","53315077"
"11/11/2025","Traspaso","M. Casadó","Vigar FC","LALIGA","4775091"
"11/11/2025","Traspaso","Álex Balde","Vigar FC","LALIGA","38347859"
"10/11/2025","Traspaso","Lewandowski","LALIGA","Pablinistan FC","76000852"
"10/11/2025","Traspaso","David Carmo","LALIGA","GOLENCIERRO FC","1564438"
"10/11/2025","Traspaso","Huijsen","Alcatamy eSports By","LALIGA","72176377"
"10/11/2025","Traspaso","E. Militão","Pablinistan FC","LALIGA","73257423"
"10/11/2025","Traspaso","A. Pedraza","GOLENCIERRO FC","Pablinistan FC","1000001"
"10/11/2025","Traspaso","Sergio Gómez","Pablinistan FC","LALIGA","10352649"
"10/11/2025","Traspaso","Arnau Tenas","Pablinistan FC","LALIGA","998803"
"10/11/2025","Recompensa","GOLENCIERRO FC","","","6500000"
"10/11/2025","Recompensa","Vigar FC","","","10500000"
"10/11/2025","Recompensa","Pablinistan FC","","","6200000"
"10/11/2025","Recompensa","Visite La Manga FC","","","100000"
"10/11/2025","Recompensa","Visite La Manga FC","","","6400000"
"10/11/2025","Recompensa","Alcatamy eSports By","","","100000"
"10/11/2025","Recompensa","Morenazos FC","","","5600000"
"10/11/2025","Recompensa","Alcatamy eSports By","","","9000000"
"09/11/2025","Traspaso","Rashford","Vigar FC","Alcatamy eSports By","103557466"
"09/11/2025","Traspaso","Valverde","Alcatamy eSports By","LALIGA","91055832"
"09/11/2025","Traspaso","Carmona","Vigar FC","LALIGA","14719049"
"09/11/2025","Traspaso","C. Alvarez","LALIGA","GOLENCIERRO FC","11500000"
"09/11/2025","Traspaso","El Hilali","LALIGA","Visite La Manga FC","3528955"
"09/11/2025","Traspaso","Mouriño","Alcatamy eSports By","LALIGA","27578819"
"08/11/2025","Traspaso","André Silva","Vigar FC","LALIGA","12794789"
"08/11/2025","Blindaje","Vargas","","","0"
"07/11/2025","Blindaje","Rashford","","","0"
"07/11/2025","Traspaso","Bryan Gil","Morenazos FC","LALIGA","3077548"
"07/11/2025","Traspaso","Mikautadze","LALIGA","GOLENCIERRO FC","30000000"
"07/11/2025","Traspaso","Becker","LALIGA","Visite La Manga FC","803667"
"07/11/2025","Traspaso","R. Araujo","LALIGA","GOLENCIERRO FC","20000000"
"07/11/2025","Traspaso","Carlos V.","LALIGA","Morenazos FC","24731754"
"07/11/2025","Traspaso","Pathé I. Ciss","LALIGA","Morenazos FC","10748890"
"07/11/2025","Traspaso","Papa","LALIGA","Visite La Manga FC","484519"
"07/11/2025","Traspaso","Natan","Alcatamy eSports By","LALIGA","39874195"
"06/11/2025","Blindaje","Sergio Herrera","","","0"
"06/11/2025","Traspaso","Rubén García","Visite La Manga FC","GOLENCIERRO FC","4567395"
"06/11/2025","Traspaso","Szczesny","Alcatamy eSports By","GOLENCIERRO FC","6260601"
"06/11/2025","Blindaje","André Silva","","","0"
"06/11/2025","Traspaso","Cucho","GOLENCIERRO FC","Vigar FC","50285039"
"06/11/2025","Traspaso","Affengruber","GOLENCIERRO FC","LALIGA","31824627"
"06/11/2025","Traspaso","Leo Román","GOLENCIERRO FC","LALIGA","5814044"
"06/11/2025","Traspaso","Chavarría","LALIGA","GOLENCIERRO FC","7636822"
"06/11/2025","Traspaso","Samu Costa","LALIGA","GOLENCIERRO FC","3000001"
"06/11/2025","Traspaso","Giuliano","LALIGA","Alcatamy eSports By","73670212"
"06/11/2025","Blindaje","Aarón","","","0"
"06/11/2025","Blindaje","Ounahi","","","0"
"06/11/2025","Blindaje","Lejeune","","","0"
"06/11/2025","Traspaso","Camavinga","GOLENCIERRO FC","Alcatamy eSports By","12000000"
"06/11/2025","Traspaso","Cabrera","Vigar FC","LALIGA","11718099"
"05/11/2025","Traspaso","Sow","Vigar FC","LALIGA","916020"
"05/11/2025","Traspaso","Catena","Vigar FC","LALIGA","50816215"
"05/11/2025","Traspaso","Jauregizar","GOLENCIERRO FC","LALIGA","29246606"
"05/11/2025","Traspaso","Comesaña","LALIGA","GOLENCIERRO FC","8000000"
"05/11/2025","Traspaso","Rafa Mir","LALIGA","GOLENCIERRO FC","17005000"
"05/11/2025","Traspaso","Isi","LALIGA","GOLENCIERRO FC","26000000"
"04/11/2025","Blindaje","Danjuma","","","0"
"04/11/2025","Blindaje","Edu Expósito","","","0"
"04/11/2025","Traspaso","Renato Veiga","Alcatamy eSports By","LALIGA","13582105"
"04/11/2025","Traspaso","Foyth","LALIGA","Alcatamy eSports By","18952922"
"04/11/2025","Traspaso","Fermín","LALIGA","Vigar FC","57400001"
"04/11/2025","Traspaso","M. Casadó","LALIGA","Vigar FC","4400046"
"04/11/2025","Traspaso","Álex Balde","LALIGA","Vigar FC","37401440"
"04/11/2025","Recompensa","Pablinistan FC","","","5700000"
"04/11/2025","Recompensa","GOLENCIERRO FC","","","7800000"
"04/11/2025","Recompensa","Alcatamy eSports By","","","11400000"
"04/11/2025","Recompensa","Vigar FC","","","11400000"
